MasterID,WeekNumber,CollectionDate,SRR,GenSex,GenStock,BioScaleFinalAge,BioSamplesID,SpawnYear,LGDFLmm,GenRear,LGDLifeStage,GenStockProb,GenParentHatchery,GenBY,GenRun,LGDMarkAD,Rear,MPG,fwAge
665733,14,2025-03-31,32W,M,GRROND,2:0,25-70039,MY2025,175,U,JV,0.622,NA,NA,NA,AI,W,GRROND,2
665830,15,2025-04-10,32W,F,SFCLWR,2:0,25-70136,MY2025,179,U,JV,0.693,NA,NA,NA,AI,W,CLRWTR,2
665848,15,2025-04-11,32W,M,LSNAKE,4:0,25-70154,MY2025,256,U,JV,0.535,NA,NA,NA,AI,W,LSNAKE,4
666125,18,2025-05-02,32W,M,MFSALM,2:0,25-70432,MY2025,186,U,JV,0.999,NA,NA,NA,AI,W,SALMON,2
666141,18,2025-05-02,32W,M,MFSALM,2:0,25-70448,MY2025,165,U,JV,0.459,NA,NA,NA,AI,W,SALMON,2
665858,16,2025-04-14,32W,M,LOSALM,3:0,25-70165,MY2025,186,U,JV,0.333,NA,NA,NA,AI,W,SALMON,3
666015,17,2025-04-24,32W,M,GRROND,3:0,25-70322,MY2025,207,U,JV,0.868,NA,NA,NA,AI,W,GRROND,3
665856,16,2025-04-14,32W,F,MFSALM,3:0,25-70163,MY2025,188,U,JV,0.889,NA,NA,NA,AI,W,SALMON,3
665742,14,2025-03-31,32W,M,IMNAHA,3:0,25-70048,MY2025,211,U,JV,0.956,NA,NA,NA,AI,W,IMNAHA,3
665724,14,2025-03-31,32W,M,UPCLWR,2:0,25-70030,MY2025,178,U,JV,0.998,NA,NA,NA,AI,W,CLRWTR,2
666206,19,2025-05-05,32W,F,GRROND,2:0,25-70513,MY2025,185,U,JV,0.331,NA,NA,NA,AI,W,GRROND,2
666223,19,2025-05-06,32W,F,GRROND,2:0,25-70530,MY2025,168,U,JV,0.451,NA,NA,NA,AI,W,GRROND,2
665765,14,2025-04-02,32W,F,UPCLWR,3:0,25-70071,MY2025,210,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666248,19,2025-05-07,32W,F,SFCLWR,2:0,25-70555,MY2025,174,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
664475,20,2025-05-13,32W,NA,NA,NA,NA,MY2025,163,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
665827,15,2025-04-10,32W,M,GRROND,2:0,25-70133,MY2025,275,U,JV,0.415,NA,NA,NA,AI,W,GRROND,2
664474,20,2025-05-12,32W,NA,NA,NA,NA,MY2025,169,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
664481,22,2025-05-26,32W,NA,NA,NA,NA,MY2025,159,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
665897,16,2025-04-15,32W,F,LSNAKE,2:0,25-70204,MY2025,182,U,JV,0.501,NA,NA,NA,AI,W,LSNAKE,2
665841,15,2025-04-11,32W,F,GRROND,2:0,25-70147,MY2025,182,U,JV,0.856,NA,NA,NA,AI,W,GRROND,2
665837,15,2025-04-11,32W,F,GRROND,2:0,25-70143,MY2025,169,U,JV,0.937,NA,NA,NA,AI,W,GRROND,2
666089,18,2025-04-30,32W,F,UPCLWR,2:0,25-70396,MY2025,185,U,JV,0.979,NA,NA,NA,AI,W,CLRWTR,2
665986,17,2025-04-22,32W,M,GRROND,2:0,25-70293,MY2025,238,U,JV,0.65,NA,NA,NA,AI,W,GRROND,2
665723,14,2025-03-31,32W,M,UPCLWR,3:0,25-70029,MY2025,208,U,JV,0.848,NA,NA,NA,AI,W,CLRWTR,3
664467,14,2025-03-31,32W,NA,NA,NA,NA,MY2025,187,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
665706,13,2025-03-27,32W,F,IMNAHA,3:0,25-70012,MY2025,217,U,JV,0.698,NA,NA,NA,AI,W,IMNAHA,3
665710,13,2025-03-27,32W,F,MFSALM,2:0,25-70016,MY2025,148,U,JV,0.367,NA,NA,NA,AI,W,SALMON,2
665843,15,2025-04-11,32W,F,UPSALM,2:0,25-70149,MY2025,158,U,JV,0.536,NA,NA,NA,AI,W,SALMON,2
666058,18,2025-04-29,32W,F,UPSALM,2:0,25-70365,MY2025,217,U,JV,0.889,NA,NA,NA,AI,W,SALMON,2
666011,17,2025-04-23,32W,F,UPSALM,2:0,25-70318,MY2025,162,U,JV,0.447,NA,NA,NA,AI,W,SALMON,2
665735,14,2025-03-31,32W,M,SFCLWR,2:0,25-70041,MY2025,177,U,JV,0.997,NA,NA,NA,AI,W,CLRWTR,2
666081,18,2025-04-30,32W,F,LSNAKE,2:0,25-70388,MY2025,205,U,JV,0.618,NA,NA,NA,AI,W,LSNAKE,2
665813,15,2025-04-08,32W,M,LSNAKE,2:0,25-70119,MY2025,204,U,JV,0.479,NA,NA,NA,AI,W,LSNAKE,2
665729,14,2025-03-31,32W,F,UPCLWR,2:0,25-70035,MY2025,161,U,JV,0.923,NA,NA,NA,AI,W,CLRWTR,2
665775,14,2025-04-03,32W,M,GRROND,2:0,25-70081,MY2025,144,U,JV,0.875,NA,NA,NA,AI,W,GRROND,2
665872,16,2025-04-14,32W,F,GRROND,3:0,25-70179,MY2025,178,U,JV,0.898,NA,NA,NA,AI,W,GRROND,3
666157,18,2025-05-02,32W,F,GRROND,4:0,25-70464,MY2025,184,U,JV,0.889,NA,NA,NA,AI,W,GRROND,4
665771,14,2025-04-03,32W,F,UPCLWR,2:0,25-70077,MY2025,193,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665702,13,2025-03-27,32W,F,UPSALM,2:0,25-70008,MY2025,246,U,JV,0.464,NA,NA,NA,AI,W,SALMON,2
665857,16,2025-04-14,32W,F,SFCLWR,N:A,25-70164,MY2025,166,U,JV,0.988,NA,NA,NA,AI,W,CLRWTR,NA
666174,18,2025-05-02,32W,F,GRROND,2:0,25-70481,MY2025,153,U,JV,0.849,NA,NA,NA,AI,W,GRROND,2
666190,19,2025-05-05,32W,M,UPCLWR,3:0,25-70497,MY2025,205,U,JV,0.969,NA,NA,NA,AI,W,CLRWTR,3
665811,15,2025-04-08,32W,F,LSNAKE,4:0,25-70117,MY2025,204,U,JV,0.349,NA,NA,NA,AI,W,LSNAKE,4
666075,18,2025-04-30,32W,NA,NA,2:0,25-70382,MY2025,236,NG,JV,NA,NA,NA,NA,AI,W,NA,2
666201,19,2025-05-05,32W,F,MFSALM,4:0,25-70508,MY2025,196,U,JV,0.419,NA,NA,NA,AI,W,SALMON,4
665745,14,2025-03-31,32W,M,IMNAHA,3:0,25-70051,MY2025,223,U,JV,0.597,NA,NA,NA,AI,W,IMNAHA,3
666177,18,2025-05-02,32W,M,UPSALM,2:0,25-70484,MY2025,176,U,JV,0.876,NA,NA,NA,AI,W,SALMON,2
665736,14,2025-03-31,32W,M,UPSALM,3:0,25-70042,MY2025,269,U,JV,0.992,NA,NA,NA,AI,W,SALMON,3
666152,18,2025-05-02,32W,F,SFCLWR,2:0,25-70459,MY2025,191,U,JV,0.991,NA,NA,NA,AI,W,CLRWTR,2
666169,18,2025-05-02,32W,M,SFCLWR,2:0,25-70476,MY2025,157,U,JV,0.996,NA,NA,NA,AI,W,CLRWTR,2
665871,16,2025-04-14,32W,F,UPCLWR,2:0,25-70178,MY2025,175,U,JV,0.714,NA,NA,NA,AI,W,CLRWTR,2
666008,17,2025-04-23,32W,F,LSNAKE,3:0,25-70315,MY2025,179,U,JV,0.944,NA,NA,NA,AI,W,LSNAKE,3
666140,18,2025-05-02,32W,F,IMNAHA,2:0,25-70447,MY2025,206,U,JV,0.613,NA,NA,NA,AI,W,IMNAHA,2
666062,18,2025-04-29,32W,M,GRROND,1:0,25-70369,MY2025,147,U,JV,0.897,NA,NA,NA,AI,W,GRROND,1
665987,17,2025-04-22,32W,F,IMNAHA,3:0,25-70294,MY2025,199,U,JV,0.839,NA,NA,NA,AI,W,IMNAHA,3
665803,15,2025-04-08,32W,M,IMNAHA,2:0,25-70109,MY2025,232,U,JV,0.938,NA,NA,NA,AI,W,IMNAHA,2
665873,16,2025-04-14,32W,F,GRROND,2:0,25-70180,MY2025,173,U,JV,0.943,NA,NA,NA,AI,W,GRROND,2
665728,14,2025-03-31,32W,F,SFSALM,3:0,25-70034,MY2025,215,U,JV,0.999,NA,NA,NA,AI,W,SALMON,3
665741,14,2025-03-31,32W,F,GRROND,2:0,25-70047,MY2025,221,U,JV,0.988,NA,NA,NA,AI,W,GRROND,2
665928,16,2025-04-17,32W,M,GRROND,2:0,25-70235,MY2025,296,U,JV,0.796,NA,NA,NA,AI,W,GRROND,2
664470,16,2025-04-18,32W,NA,NA,NA,NA,MY2025,NA,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
665782,14,2025-04-03,32W,F,SFCLWR,2:0,25-70088,MY2025,204,U,JV,0.769,NA,NA,NA,AI,W,CLRWTR,2
664477,20,2025-05-16,32W,NA,NA,NA,NA,MY2025,138,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
665755,14,2025-04-02,32W,M,GRROND,2:0,25-70061,MY2025,182,U,JV,0.717,NA,NA,NA,AI,W,GRROND,2
665918,16,2025-04-17,32W,F,SFSALM,4:0,25-70225,MY2025,216,U,JV,0.999,NA,NA,NA,AI,W,SALMON,4
666386,20,2025-05-12,32W,F,IMNAHA,2:0,25-70693,MY2025,186,U,JV,0.992,NA,NA,NA,AI,W,IMNAHA,2
665815,15,2025-04-08,32W,F,UPSALM,2:0,25-70121,MY2025,219,U,JV,0.805,NA,NA,NA,AI,W,SALMON,2
665787,14,2025-04-04,32W,M,GRROND,2:0,25-70093,MY2025,146,U,JV,0.722,NA,NA,NA,AI,W,GRROND,2
666275,19,2025-05-07,32W,F,UPSALM,1:0,25-70582,MY2025,152,U,JV,0.665,NA,NA,NA,AI,W,SALMON,1
666222,19,2025-05-06,32W,F,GRROND,2:0,25-70529,MY2025,176,U,JV,0.801,NA,NA,NA,AI,W,GRROND,2
665722,13,2025-03-28,32W,F,GRROND,3:0,25-70028,MY2025,212,U,JV,0.546,NA,NA,NA,AI,W,GRROND,3
665785,14,2025-04-03,32W,M,GRROND,2:0,25-70091,MY2025,161,U,JV,0.895,NA,NA,NA,AI,W,GRROND,2
665716,13,2025-03-28,32W,F,GRROND,3:0,25-70022,MY2025,284,U,JV,0.619,NA,NA,NA,AI,W,GRROND,3
666066,18,2025-04-29,32H,M,SFCLWR,2:0,25-70373,MY2025,196,H,JV,0.831,NA,NA,NA,AI,HNC,CLRWTR,2
664466,13,2025-03-27,32W,NA,NA,NA,NA,MY2025,246,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
666045,17,2025-04-25,32W,F,SFCLWR,2:0,25-70352,MY2025,161,U,JV,0.992,NA,NA,NA,AI,W,CLRWTR,2
666006,17,2025-04-23,32W,M,LOCLWR,2:0,25-70313,MY2025,208,U,JV,0.542,NA,NA,NA,AI,W,CLRWTR,2
665697,13,2025-03-27,32W,F,GRROND,N:A,25-70003,MY2025,210,U,JV,0.766,NA,NA,NA,AI,W,GRROND,NA
665772,14,2025-04-03,32W,M,GRROND,3:0,25-70078,MY2025,234,U,JV,0.62,NA,NA,NA,AI,W,GRROND,3
665696,13,2025-03-27,32W,F,GRROND,2:0,25-70002,MY2025,86,U,JV,0.78,NA,NA,NA,AI,W,GRROND,2
666070,18,2025-04-29,32W,F,UPCLWR,3:0,25-70377,MY2025,188,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666079,18,2025-04-30,32W,M,UPCLWR,3:0,25-70386,MY2025,192,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
665850,16,2025-04-14,32W,M,GRROND,2:0,25-70156,MY2025,148,U,JV,0.512,NA,NA,NA,AI,W,GRROND,2
666168,18,2025-05-02,32W,F,UPCLWR,1:0,25-70475,MY2025,148,U,JV,0.996,NA,NA,NA,AI,W,CLRWTR,1
664469,16,2025-04-15,32W,NA,NA,NA,NA,MY2025,173,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
666526,20,2025-05-15,32W,F,SFCLWR,3:0,25-70833,MY2025,199,U,JV,0.668,NA,NA,NA,AI,W,CLRWTR,3
666023,17,2025-04-24,32W,M,UPSALM,2:0,25-70330,MY2025,175,U,JV,0.532,NA,NA,NA,AI,W,SALMON,2
665938,16,2025-04-17,32W,F,SFCLWR,3:0,25-70245,MY2025,234,U,JV,0.866,NA,NA,NA,AI,W,CLRWTR,3
666503,20,2025-05-14,32W,F,GRROND,3:0,25-70810,MY2025,175,U,JV,0.555,NA,NA,NA,AI,W,GRROND,3
666176,18,2025-05-02,32W,F,UPCLWR,2:0,25-70483,MY2025,170,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666001,17,2025-04-23,32W,M,GRROND,2:0,25-70308,MY2025,165,U,JV,0.941,NA,NA,NA,AI,W,GRROND,2
665865,16,2025-04-14,32W,M,UPSALM,2:0,25-70172,MY2025,183,U,JV,0.923,NA,NA,NA,AI,W,SALMON,2
666132,18,2025-05-02,32W,M,UPCLWR,2:0,25-70439,MY2025,162,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665730,14,2025-03-31,32W,M,UPCLWR,3:0,25-70036,MY2025,151,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
665731,14,2025-03-31,32W,M,SFCLWR,2:0,25-70037,MY2025,204,U,JV,0.998,NA,NA,NA,AI,W,CLRWTR,2
666150,18,2025-05-02,32W,F,GRROND,2:0,25-70457,MY2025,182,U,JV,0.837,NA,NA,NA,AI,W,GRROND,2
665704,13,2025-03-27,32H,F,SFCLWR,4:0,25-70010,MY2025,214,H,JV,0.995,NA,NA,NA,AI,HNC,CLRWTR,4
666061,18,2025-04-29,32W,F,GRROND,2:0,25-70368,MY2025,152,U,JV,0.605,NA,NA,NA,AI,W,GRROND,2
665868,16,2025-04-14,32W,M,SFCLWR,2:0,25-70175,MY2025,172,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665921,16,2025-04-17,32W,M,LOCLWR,2:0,25-70228,MY2025,163,U,JV,0.652,NA,NA,NA,AI,W,CLRWTR,2
665939,16,2025-04-17,32W,F,LOCLWR,2:0,25-70246,MY2025,185,U,JV,0.661,NA,NA,NA,AI,W,CLRWTR,2
665951,16,2025-04-18,32W,F,SFSALM,3:0,25-70258,MY2025,179,U,JV,0.999,NA,NA,NA,AI,W,SALMON,3
665942,16,2025-04-17,32W,F,SFSALM,3:0,25-70249,MY2025,206,U,JV,0.962,NA,NA,NA,AI,W,SALMON,3
666002,17,2025-04-23,32W,M,MFSALM,3:0,25-70309,MY2025,166,U,JV,0.421,NA,NA,NA,AI,W,SALMON,3
666213,19,2025-05-05,32W,M,UPSALM,2:0,25-70520,MY2025,184,U,JV,0.446,NA,NA,NA,AI,W,SALMON,2
665834,15,2025-04-11,32W,M,LSNAKE,4:0,25-70140,MY2025,306,U,JV,0.516,NA,NA,NA,AI,W,LSNAKE,4
666009,17,2025-04-23,32W,M,IMNAHA,3:0,25-70316,MY2025,223,U,JV,0.841,NA,NA,NA,AI,W,IMNAHA,3
665712,13,2025-03-27,32W,F,GRROND,4:0,25-70018,MY2025,304,U,JV,0.651,NA,NA,NA,AI,W,GRROND,4
665738,14,2025-03-31,32W,M,GRROND,3:0,25-70044,MY2025,204,U,JV,0.884,NA,NA,NA,AI,W,GRROND,3
665770,14,2025-04-03,32W,M,GRROND,3:0,25-70076,MY2025,183,U,JV,0.664,NA,NA,NA,AI,W,GRROND,3
665700,13,2025-03-27,32W,F,IMNAHA,N:A,25-70006,MY2025,252,U,JV,0.41,NA,NA,NA,AI,W,IMNAHA,NA
665905,16,2025-04-16,32W,M,UPSALM,2:0,25-70212,MY2025,162,U,JV,0.377,NA,NA,NA,AI,W,SALMON,2
666211,19,2025-05-05,32W,F,SFCLWR,2:0,25-70518,MY2025,167,U,JV,0.991,NA,NA,NA,AI,W,CLRWTR,2
666054,18,2025-04-29,32W,M,SFCLWR,2:0,25-70361,MY2025,173,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666077,18,2025-04-30,32W,NA,NA,2:0,25-70384,MY2025,160,NG,JV,NA,NA,NA,NA,AI,W,NA,2
665825,15,2025-04-10,32W,M,GRROND,2:0,25-70131,MY2025,142,U,JV,0.992,NA,NA,NA,AI,W,GRROND,2
665727,14,2025-03-31,32W,M,UPSALM,2:0,25-70033,MY2025,195,U,JV,0.325,NA,NA,NA,AI,W,SALMON,2
665725,14,2025-03-31,32W,F,LOCLWR,3:0,25-70031,MY2025,150,U,JV,0.962,NA,NA,NA,AI,W,CLRWTR,3
665714,13,2025-03-28,32W,F,UPSALM,2:0,25-70020,MY2025,184,U,JV,0.347,NA,NA,NA,AI,W,SALMON,2
665831,15,2025-04-10,32W,F,UPSALM,2:0,25-70137,MY2025,210,U,JV,0.975,NA,NA,NA,AI,W,SALMON,2
665768,14,2025-04-03,32W,F,SFCLWR,2:0,25-70074,MY2025,228,U,JV,0.995,NA,NA,NA,AI,W,CLRWTR,2
665748,14,2025-03-31,32W,M,SFCLWR,2:0,25-70054,MY2025,158,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665821,15,2025-04-09,32W,F,GRROND,2:0,25-70127,MY2025,166,U,JV,0.551,NA,NA,NA,AI,W,GRROND,2
665985,17,2025-04-22,32W,F,LSNAKE,2:0,25-70292,MY2025,210,U,JV,0.64,NA,NA,NA,AI,W,LSNAKE,2
665698,13,2025-03-27,32W,F,LSNAKE,2:0,25-70004,MY2025,202,U,JV,0.458,NA,NA,NA,AI,W,LSNAKE,2
665779,14,2025-04-03,32W,M,GRROND,3:0,25-70085,MY2025,272,U,JV,0.587,NA,NA,NA,AI,W,GRROND,3
665920,16,2025-04-17,32W,F,MFSALM,2:0,25-70227,MY2025,159,U,JV,0.932,NA,NA,NA,AI,W,SALMON,2
665726,14,2025-03-31,32W,F,LSNAKE,2:0,25-70032,MY2025,151,U,JV,0.838,NA,NA,NA,AI,W,LSNAKE,2
665853,16,2025-04-14,32W,F,GRROND,2:0,25-70160,MY2025,175,U,JV,0.638,NA,NA,NA,AI,W,GRROND,2
665876,16,2025-04-15,32W,F,GRROND,2:0,25-70183,MY2025,253,U,JV,0.55,NA,NA,NA,AI,W,GRROND,2
666067,18,2025-04-29,32W,F,GRROND,3:0,25-70374,MY2025,170,U,JV,0.585,NA,NA,NA,AI,W,GRROND,3
665780,14,2025-04-03,32W,F,UPCLWR,2:0,25-70086,MY2025,165,U,JV,0.506,NA,NA,NA,AI,W,CLRWTR,2
665874,16,2025-04-14,32W,M,SFSALM,3:0,25-70181,MY2025,286,U,JV,0.989,NA,NA,NA,AI,W,SALMON,3
665800,15,2025-04-08,32W,M,GRROND,2:0,25-70106,MY2025,128,U,JV,0.92,NA,NA,NA,AI,W,GRROND,2
665707,13,2025-03-27,32W,M,GRROND,2:0,25-70013,MY2025,281,U,JV,0.801,NA,NA,NA,AI,W,GRROND,2
665922,16,2025-04-17,32W,M,MFSALM,2:0,25-70229,MY2025,162,U,JV,0.725,NA,NA,NA,AI,W,SALMON,2
666088,18,2025-04-30,32W,NA,NA,2:0,25-70395,MY2025,170,NG,JV,NA,NA,NA,NA,AI,W,NA,2
666028,17,2025-04-25,32W,M,UPSALM,2:0,25-70335,MY2025,157,U,JV,0.972,NA,NA,NA,AI,W,SALMON,2
666019,17,2025-04-24,32W,F,SFCLWR,2:0,25-70326,MY2025,161,U,JV,0.956,NA,NA,NA,AI,W,CLRWTR,2
664472,19,2025-05-06,32W,NA,NA,NA,NA,MY2025,198,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
666007,17,2025-04-23,32W,M,UPSALM,2:0,25-70314,MY2025,189,U,JV,0.545,NA,NA,NA,AI,W,SALMON,2
666139,18,2025-05-02,32W,M,UPCLWR,2:0,25-70446,MY2025,171,U,JV,0.992,NA,NA,NA,AI,W,CLRWTR,2
665751,14,2025-04-01,32W,F,UPSALM,2:0,25-70057,MY2025,156,U,JV,0.734,NA,NA,NA,AI,W,SALMON,2
666034,17,2025-04-25,32W,F,UPSALM,2:0,25-70341,MY2025,164,U,JV,0.295,NA,NA,NA,AI,W,SALMON,2
666005,17,2025-04-23,32W,F,UPSALM,2:0,25-70312,MY2025,175,U,JV,0.585,NA,NA,NA,AI,W,SALMON,2
664473,20,2025-05-12,32W,NA,NA,NA,NA,MY2025,167,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
666358,20,2025-05-12,32W,M,LSNAKE,2:0,25-70665,MY2025,160,U,JV,0.397,NA,NA,NA,AI,W,LSNAKE,2
665801,15,2025-04-08,32W,F,GRROND,2:0,25-70107,MY2025,219,U,JV,0.911,NA,NA,NA,AI,W,GRROND,2
665732,14,2025-03-31,32W,F,SFCLWR,2:0,25-70038,MY2025,170,U,JV,0.911,NA,NA,NA,AI,W,CLRWTR,2
665699,13,2025-03-27,32W,M,LSNAKE,2:0,25-70005,MY2025,242,U,JV,0.552,NA,NA,NA,AI,W,LSNAKE,2
665927,16,2025-04-17,32W,F,UPCLWR,3:0,25-70234,MY2025,178,U,JV,0.785,NA,NA,NA,AI,W,CLRWTR,3
664468,14,2025-04-03,32W,NA,NA,NA,NA,MY2025,221,NA,JV,NA,NA,NA,NA,AI,W,NA,NA
665824,15,2025-04-09,32W,M,SFCLWR,2:0,25-70130,MY2025,156,U,JV,0.83,NA,NA,NA,AI,W,CLRWTR,2
665870,16,2025-04-14,32W,M,GRROND,2:0,25-70177,MY2025,156,U,JV,0.885,NA,NA,NA,AI,W,GRROND,2
665993,17,2025-04-22,32W,M,UPCLWR,2:0,25-70300,MY2025,159,U,JV,0.997,NA,NA,NA,AI,W,CLRWTR,2
665767,14,2025-04-03,32W,M,SFCLWR,2:0,25-70073,MY2025,163,U,JV,0.997,NA,NA,NA,AI,W,CLRWTR,2
666237,19,2025-05-06,32W,F,GRROND,3:0,25-70544,MY2025,190,U,JV,0.626,NA,NA,NA,AI,W,GRROND,3
665864,16,2025-04-14,32W,M,SFCLWR,3:0,25-70171,MY2025,173,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666147,18,2025-05-02,32W,F,UPSALM,2:0,25-70454,MY2025,166,U,JV,0.884,NA,NA,NA,AI,W,SALMON,2
665851,16,2025-04-14,32W,M,SFCLWR,2:0,25-70157,MY2025,183,U,JV,0.993,NA,NA,NA,AI,W,CLRWTR,2
666144,18,2025-05-02,32W,M,LSNAKE,3:0,25-70451,MY2025,175,U,JV,0.908,NA,NA,NA,AI,W,LSNAKE,3
666068,18,2025-04-29,32W,M,IMNAHA,2:0,25-70375,MY2025,193,U,JV,0.654,NA,NA,NA,AI,W,IMNAHA,2
665861,16,2025-04-14,32W,F,SFCLWR,2:0,25-70168,MY2025,160,U,JV,0.356,NA,NA,NA,AI,W,CLRWTR,2
665875,16,2025-04-14,32W,F,LSNAKE,3:0,25-70182,MY2025,159,U,JV,0.655,NA,NA,NA,AI,W,LSNAKE,3
666000,17,2025-04-23,32W,M,SFCLWR,2:0,25-70307,MY2025,158,U,JV,0.997,NA,NA,NA,AI,W,CLRWTR,2
666205,19,2025-05-05,32W,M,UPCLWR,4:0,25-70512,MY2025,195,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,4
666055,18,2025-04-29,32W,M,IMNAHA,2:0,25-70362,MY2025,169,U,JV,0.684,NA,NA,NA,AI,W,IMNAHA,2
665820,15,2025-04-09,32W,F,UPCLWR,2:0,25-70126,MY2025,154,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666027,17,2025-04-25,32W,F,UPSALM,2:0,25-70334,MY2025,159,U,JV,0.43,NA,NA,NA,AI,W,SALMON,2
666327,19,2025-05-09,32W,F,SFCLWR,2:0,25-70634,MY2025,154,U,JV,0.981,NA,NA,NA,AI,W,CLRWTR,2
666345,19,2025-05-09,32W,F,MFSALM,3:0,25-70652,MY2025,162,U,JV,0.903,NA,NA,NA,AI,W,SALMON,3
666313,19,2025-05-08,32W,F,SFSALM,3:0,25-70620,MY2025,175,U,JV,0.974,NA,NA,NA,AI,W,SALMON,3
665998,17,2025-04-22,32W,M,UPCLWR,2:0,25-70305,MY2025,164,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
666018,17,2025-04-24,32W,F,UPCLWR,2:0,25-70325,MY2025,177,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,2
665750,14,2025-04-01,32W,M,GRROND,2:0,25-70056,MY2025,225,U,JV,0.358,NA,NA,NA,AI,W,GRROND,2
666202,19,2025-05-05,32W,F,SFSALM,4:0,25-70509,MY2025,200,U,JV,0.999,NA,NA,NA,AI,W,SALMON,4
666186,19,2025-05-05,32W,M,UPCLWR,2:0,25-70493,MY2025,160,U,JV,0.927,NA,NA,NA,AI,W,CLRWTR,2
666179,19,2025-05-05,32W,F,IMNAHA,2:0,25-70486,MY2025,138,U,JV,0.426,NA,NA,NA,AI,W,IMNAHA,2
665944,16,2025-04-17,32W,M,LSNAKE,2:0,25-70251,MY2025,187,U,JV,0.837,NA,NA,NA,AI,W,LSNAKE,2
666004,17,2025-04-23,32W,F,MFSALM,4:0,25-70311,MY2025,193,U,JV,0.993,NA,NA,NA,AI,W,SALMON,4
665747,14,2025-03-31,32W,F,GRROND,2:0,25-70053,MY2025,175,U,JV,0.933,NA,NA,NA,AI,W,GRROND,2
665743,14,2025-03-31,32W,F,SFCLWR,2:0,25-70049,MY2025,167,U,JV,0.997,NA,NA,NA,AI,W,CLRWTR,2
666129,18,2025-05-02,32W,F,UPCLWR,3:0,25-70436,MY2025,175,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666154,18,2025-05-02,32W,F,LSNAKE,3:0,25-70461,MY2025,202,U,JV,0.257,NA,NA,NA,AI,W,LSNAKE,3
665764,14,2025-04-02,32W,F,GRROND,2:0,25-70070,MY2025,196,U,JV,0.923,NA,NA,NA,AI,W,GRROND,2
666183,19,2025-05-05,32W,M,IMNAHA,2:0,25-70490,MY2025,177,U,JV,0.324,NA,NA,NA,AI,W,IMNAHA,2
665713,13,2025-03-28,32W,F,SFSALM,3:0,25-70019,MY2025,174,U,JV,0.64,NA,NA,NA,AI,W,SALMON,3
666145,18,2025-05-02,32W,F,UPSALM,2:0,25-70452,MY2025,163,U,JV,0.754,NA,NA,NA,AI,W,SALMON,2
666052,18,2025-04-28,32W,F,SFCLWR,2:0,25-70359,MY2025,195,U,JV,0.9,NA,NA,NA,AI,W,CLRWTR,2
665890,16,2025-04-15,32W,F,SFCLWR,2:0,25-70197,MY2025,235,U,JV,0.988,NA,NA,NA,AI,W,CLRWTR,2
666391,20,2025-05-12,32W,M,UPSALM,2:0,25-70698,MY2025,170,U,JV,0.997,NA,NA,NA,AI,W,SALMON,2
666406,20,2025-05-12,32W,M,SFCLWR,1:0,25-70713,MY2025,193,U,JV,0.994,NA,NA,NA,AI,W,CLRWTR,1
665888,16,2025-04-15,32W,F,UPSALM,2:0,25-70195,MY2025,160,U,JV,0.724,NA,NA,NA,AI,W,SALMON,2
666641,22,2025-05-26,32W,M,UPSALM,2:0,25-70948,MY2025,164,U,JV,0.876,NA,NA,NA,AI,W,SALMON,2
665832,15,2025-04-10,32W,F,UPCLWR,3:0,25-70138,MY2025,192,U,JV,0.999,NA,NA,NA,AI,W,CLRWTR,3
666371,20,2025-05-12,32W,F,GRROND,1:0,25-70678,MY2025,145,U,JV,0.731,NA,NA,NA,AI,W,GRROND,1
665859,16,2025-04-14,32W,M,SFSALM,3:0,25-70166,MY2025,236,U,JV,0.696,NA,NA,NA,AI,W,SALMON,3
666393,20,2025-05-12,32W,M,UPCLWR,3:0,25-70700,MY2025,162,U,JV,0.553,NA,NA,NA,AI,W,CLRWTR,3
